Encoding;Encryption;Frequency;Genre;Language;Model;Name;Orb;Pay;Pol.;Pos.;Quality;SR;Satellite;Transponder;Type
mpeg-4;none;10714;Entertainment General;German;;Donau;19.2°E;Free;h;;hd;22000;1kr;1.049;tv
mpeg-4;none;10714;Entertainment General;German;;Fernsehen Franken;19.2°E;Free;h;;hd;22000;1kr;1.049;tv
mpeg-4;none;10714;Entertainment General;German;;Isar;19.2°E;Free;h;;hd;22000;1kr;1.049;tv
mpeg-4;none;10714;Entertainment General;German;;Main;19.2°E;Free;h;;hd;22000;1kr;1.049;tv
mpeg-4;none;10714;Entertainment General;German;;Oberpfalz;19.2°E;Free;h;;hd;22000;1kr;1.049;tv
mpeg-4;none;10714;Entertainment General;German;;1 Trp;19.2°E;Free;h;;hd;22000;1kr;1.049;tv
mpeg-4;none;10714;Entertainment General;German;;Schweinfurt Mainfranken;19.2°E;Free;h;;hd;22000;1kr;1.049;tv
mpeg-4;none;10714;Entertainment General;German;;Wurzburg Mainfranken;19.2°E;Free;h;;hd;22000;1kr;1.049;tv
mpeg-4;none;10714;Entertainment General;German;;Oberfranken;19.2°E;Free;h;;hd;22000;1kr;1.049;tv
mpeg-4;none;10714;Entertainment General;German;;Ostbayern Tva;19.2°E;Free;h;;hd;22000;1kr;1.049;tv
mpeg-2;none;10744;Culture;German;;Deutsch Arte;19.2°E;Free;h;;sd;22000;1m;1.051;tv
mpeg-2;none;10744;Entertainment General;German;;One;19.2°E;Free;h;;sd;22000;1m;1.051;tv
mpeg-2;none;10744;Political;German;;Phoenix;19.2°E;Free;h;;sd;22000;1m;1.051;tv
mpeg-2;none;10744;News;German;;24 Tagesschau;19.2°E;Free;h;;sd;22000;1m;1.051;tv
mpeg-4;none;10773;Entertainment General;German;;Serie Anixe;19.2°E;Free;h;;hd;22000;1kr;1.053;tv
mpeg-4;none;10773;Shopping;German;;Plus Genius;19.2°E;Free;h;;sd;22000;1kr;1.053;tv
mpeg-4;none;10773;Shopping;German;;24 Hse;19.2°E;Free;h;;hd;22000;1kr;1.053;tv
mpeg-4;none;10773;Shopping;German;;Deutschland Qvc;19.2°E;Free;h;;hd;22000;1kr;1.053;tv
mpeg-4;none;10773;Religious;German;;Deutsch Sophia;19.2°E;Free;h;;sd;22000;1kr;1.053;tv
mpeg-4;none;10803;Shopping;German;;123;19.2°E;Free;h;;hd;22000;1kr;1.055;tv
mpeg-4;none;10803;Adults;German;;24 Babestation;19.2°E;Free;h;;hd;22000;1kr;1.055;tv
mpeg-4;none;10803;Shopping;German;;Extra 24 Hse;19.2°E;Free;h;;hd;22000;1kr;1.055;tv
mpeg-4;none;10803;Shopping;German;;Deutschland 2 Qvc;19.2°E;Free;h;;hd;22000;1kr;1.055;tv
;none;10847;;Spanish;;Dial Cadena;19.2°E;Free;v;;;22000;1m;1.058;radio
;none;10847;;Spanish;;Ser Cadena;19.2°E;Free;v;;;22000;1m;1.058;radio
mpeg-2;none;10847;Promo;Spanish;;Portada Canal;19.2°E;Free;v;;sd;22000;1m;1.058;tv
;none;10847;;Spanish;;Principales 40 Los;19.2°E;Free;v;;;22000;1m;1.058;radio
mpeg-2;none;10847;Shopping;Spanish;;Ltc;19.2°E;Free;v;;sd;22000;1m;1.058;tv
;none;10847;;Spanish;;Radio 80;19.2°E;Free;v;;;22000;1m;1.058;radio
;none;10847;;Spanish;;Maxima;19.2°E;Free;v;;;22000;1m;1.058;radio
;none;10847;;Spanish;;Radiole;19.2°E;Free;v;;;22000;1m;1.058;radio
mpeg-4;none;10891;Entertainment General;German;;Fernsehen;19.2°E;Free;h;;hd;22000;1m;1.061;tv
mpeg-4;none;10891;Entertainment General;German;;Sachsen Fernsehen Mdr;19.2°E;Free;h;;hd;22000;1m;1.061;tv
mpeg-4;none;10891;Entertainment General;German;;Sachsenanhalt Fernsehen Mdr;19.2°E;Free;h;;hd;22000;1m;1.061;tv
mpeg-4;none;10891;Entertainment General;German;;Thuringen Fernsehen Mdr;19.2°E;Free;h;;hd;22000;1m;1.061;tv
mpeg-4;none;10891;Entertainment General;German;;Berlin Rbb;19.2°E;Free;h;;hd;22000;1m;1.061;tv
mpeg-4;none;10891;Entertainment General;German;;Brandenburg Rbb;19.2°E;Free;h;;hd;22000;1m;1.061;tv
mpeg-2;none;10921;Films;German;;;19.2°E;Free;h;;sd;22000;1kr;1.063;tv
mpeg-4;none;10921;Shopping;German;;Family Genius;19.2°E;Free;h;;sd;22000;1kr;1.063;tv
mpeg-2;none;10921;Promo;German;;Promo Deutschland Hgtv;19.2°E;Free;h;;sd;22000;1kr;1.063;tv
mpeg-2;none;10921;;German;;One Zee;19.2°E;Free;h;;sd;22000;1kr;1.063;tv
mpeg-4;none;10964;Shopping;German;;21 Channel;19.2°E;Free;h;;hd;22000;1l;1.033;tv
mpeg-4;none;10964;Shopping;German;;Deutschland Style Qvc;19.2°E;Free;h;;hd;22000;1l;1.033;tv
mpeg-4;none;10964;Shopping;German;;2 Sparhandy;19.2°E;Free;h;;hd;22000;1l;1.033;tv
mpeg-4;none;10964;Test;German;;One Zee;19.2°E;Free;h;;hd;22000;1l;1.033;tv
mpeg-2;none;10994;Promo;English;;Channel Demo Ultra Ses;19.2°E;Free;h;;uhd;22000;1l;1.035;tv
mpeg-2;none;10994;;German;;1 Uhd;19.2°E;Free;h;;uhd;22000;1l;1.035;tv
mpeg-4;none;11053;Education;German;;Alpha Ard;19.2°E;Free;h;;hd;22000;1l;1.039;tv
mpeg-4;none;11053;Entertainment General;German;;One;19.2°E;Free;h;;hd;22000;1l;1.039;tv
mpeg-4;none;11053;Entertainment General;German;;Bremen Radio;19.2°E;Free;h;;hd;22000;1l;1.039;tv
mpeg-4;none;11053;;German;;Fernsehen;19.2°E;Free;h;;hd;22000;1l;1.039;tv
mpeg-4;none;11053;News;German;;24 Tagesschau;19.2°E;Free;h;;hd;22000;1l;1.039;tv
mpeg-2;none;11068;Entertainment General;Galician;;Europa Galicia;19.2°E;Free;v;;sd;22000;1l;1.040;tv
mpeg-4;none;11068;News;French;;Francais News I24;19.2°E;Free;v;;sd;22000;1l;1.040;tv
mpeg-2;none;11068;Entertainment General;Portuguese;;Europa Record;19.2°E;Free;v;;sd;22000;1l;1.040;tv
mpeg-2;none;11068;Religious;Spanish;;Espana Tbn;19.2°E;Free;v;;sd;22000;1l;1.040;tv
mpeg-2;none;11068;;Arabic;;Maroc Tele;19.2°E;Free;v;;sd;22000;1l;1.040;tv
mpeg-2;none;11068;Entertainment General;Spanish;;Telesur;19.2°E;Free;v;;sd;22000;1l;1.040;tv
mpeg-2;none;11112;Fashion;English;;One Fashion;19.2°E;Free;h;;uhd;22000;1l;1.043;tv
mpeg-2;none;11156;Entertainment General;Spanish;;Andalucia Sur Canal;19.2°E;Free;v;;sd;22000;1kr;1.046;tv
;none;11186;;Polish;;Maryja Radio;19.2°E;Free;v;;;22000;1l;1.048;radio
mpeg-2;none;11186;Religious;Polish;;Trwam;19.2°E;Free;v;;sd;22000;1l;1.048;tv
mpeg-4;none;11229;News;English;;English Aljazeera;19.2°E;Free;v;;hd;22000;1kr;1.002;tv
mpeg-4;none;11229;News;English;;Europe News World Bbc;19.2°E;Free;v;;hd;22000;1kr;1.002;tv
mpeg-4;none;11229;;French;;Live Blanc Mont;19.2°E;Free;v;;hd;22000;1kr;1.002;tv
mpeg-4;none;11229;News;English;;Japan World Nhk;19.2°E;Free;v;;hd;22000;1kr;1.002;tv
mpeg-4;none;11244;Religious;German;;Bibel;19.2°E;Free;h;;hd;22000;1kr;1.003;tv
mpeg-4;none;11244;Religious;German;;Deutsch Channel Hope;19.2°E;Free;h;;hd;22000;1kr;1.003;tv
mpeg-4;none;11244;;German;;Osterreich Plus Rtl;19.2°E;Free;h;;sd;22000;1kr;1.003;tv
mpeg-4;none;11244;Entertainment General;German;;Schau;19.2°E;Free;h;;hd;22000;1kr;1.003;tv
mpeg-2;none;11244;Shopping;German;;Direct 24 Shop;19.2°E;Free;h;;sd;22000;1kr;1.003;tv
mpeg-4;none;11273;Shopping;German;;Aristo;19.2°E;Free;h;;sd;22000;1kr;1.005;tv
mpeg-4;none;11273;Music;German;;Gotv;19.2°E;Free;h;;sd;22000;1kr;1.005;tv
mpeg-4;none;11273;;German;;Express Melodie;19.2°E;Free;h;;sd;22000;1kr;1.005;tv
mpeg-4;none;11273;Music;German;;Melodie;19.2°E;Free;h;;sd;22000;1kr;1.005;tv
mpeg-4;none;11273;;German;;Oe24;19.2°E;Free;h;;hd;22000;1kr;1.005;tv
mpeg-4;none;11273;;German;;;19.2°E;Free;h;;hd;22000;1kr;1.005;tv
mpeg-4;none;11273;;German;;5 Schweiz;19.2°E;Free;h;;sd;22000;1kr;1.005;tv
mpeg-4;none;11273;Shopping;German;;Direct 24 Shop;19.2°E;Free;h;;sd;22000;1kr;1.005;tv
mpeg-4;none;11288;Religious;German;;Vozrozhdeniye Deutschland;19.2°E;Free;v;;sd;22000;1l;1.006;tv
mpeg-2;none;11288;Shopping;German;;Deutschland Qvc;19.2°E;Free;v;;uhd;22000;1l;1.006;tv
mpeg-2;none;11288;News;Italian;;24 News Rai;19.2°E;Free;v;;sd;22000;1l;1.006;tv
mpeg-4;none;11303;;German;;Deutschland Servus;19.2°E;Free;h;;hd;22000;1l;1.007;tv
mpeg-4;none;11347;Culture;German;;3Sat;19.2°E;Free;v;;hd;22000;1kr;1.010;tv
mpeg-4;none;11347;Children;German;;Kika;19.2°E;Free;v;;hd;22000;1kr;1.010;tv
mpeg-4;none;11347;;German;;Info Zdf;19.2°E;Free;v;;hd;22000;1kr;1.010;tv
mpeg-4;none;11362;Entertainment General;German;;Zdf;19.2°E;Free;h;;hd;22000;1kr;1.011;tv
mpeg-4;none;11362;Documentary;German;;Neo Zdf;19.2°E;Free;h;;hd;22000;1kr;1.011;tv
mpeg-4;none;11377;;Spanish;;Satelite Extremadura Canal;19.2°E;Free;v;;sd;22000;1l;1.012;tv
mpeg-4;none;11377;News;Spanish;;Espanol;19.2°E;Free;v;;hd;22000;1l;1.012;tv
mpeg-4;none;11377;News;French;;France;19.2°E;Free;v;;hd;22000;1l;1.012;tv
mpeg-4;none;11377;News;English;;News;19.2°E;Free;v;;hd;22000;1l;1.012;tv
mpeg-4;none;11377;;Spanish;;Telesur;19.2°E;Free;v;;hd;22000;1l;1.012;tv
mpeg-2;none;11391;Entertainment General;German;;Schweiz 2 Rtl;19.2°E;Free;h;;sd;22000;1kr;1.013;tv
mpeg-4;none;11421;Religious;German;;Zeit Neue Die;19.2°E;Free;h;;sd;22000;1kr;1.015;tv
