https://www.satindex.de/sat/astra-free/;Kategorie;SID;Index_Frequency;Quality;Language;AT;CH;DE;HD;SD;Sender_Sort_Key;Garbage;Skip;Channel
Das Erste HD;Allgemein;10301;101;HD;German;;;;;160;1;;;1
ZDF HD;Allgemein;11110;90;HD;German;;;;;168;2;;;2
ORF2E;Allgemein;13014;340;;Austria;;;;;;3;;;3
ServusTV HD Deutschland;Allgemein;4914;86;HD;German;;;;;331;4;;;4
SAT.1;Allgemein;17500;279;;German;179;;180;;;5;;;5
VOX;Allgemein;12060;219;;German;231;232;;;;6;;;6
ProSieben;Allgemein;17501;278;;German;177;178;;;;7;;;7
RTL Television;Allgemein;12003;214;;German;227;228;;;;8;;;8
RTL2;Allgemein;12020;215;;German;229;98;;;;9;;;9
Eurosport 1 Deutschland;Sport;31200;225;;German;;;;;;100;;;10
Sky Sport News HD;Sport;108;235;HD;German;;;;;39;101;;;11
SPORT1;Sport;900;273;;German;;;;;;102;;;12
Comedy Central Austria;Allgemein;60;196;;Austria;;;171;;;200;;;13
Kabel 1 Austria;Allgemein;20004;175;;Austria;;;275;;;201;;;14
NITRO Austria;Allgemein;13102;330;;Austria;;;209;;;202;;;15
Pro7 MAXX Austria;Allgemein;5311;154;;Austria;;;277;;;203;;;16
ANIXE HD;Allgemein;21100;11;HD;German;;;;;252;204;;;17
RTLplus Austria;Allgemein;13229;71;;Austria;;;216;;;205;;;18
SAT.1 Gold Österreich;Allgemein;5310;155;;Austria;;;281;;;206;;;19
sixx Austria;Allgemein;13106;332;;Austria;;;259;;;207;;;20
TLC Austria;Allgemein;71;206;;Austria;;;261;;;208;;;21
CANAL SUR A.;Allgemein;30505;63;;German;;;;;;209;;;22
ONE HD;Allgemein;10376;48;HD;German;;;;;8;210;;;23
RiC;Verschiedenes;13019;341;;German;;;;;;211;;;24
SCHWEIZ 5;Allgemein;13313;81;;Schweiz;;;;;;212;;;25
zdf_neo HD;Allgemein;11130;91;HD;German;;;;;170;213;;;26
Zee One HD;Allgemein;10101;44;HD;German;;;;;40;214;;;27
3sat HD;Kultur;11150;87;HD;German;;;;;166;300;;;28
ARD-alpha HD;Kultur;10377;47;HD;German;;;;;233;301;;;29
arte HD;Kultur;10302;100;HD;German;;;;;7;302;;;30
DMAX Austria;Dokus / Reportagen;73;198;;Austria;;;264;;;401;;;31
kabel1 Doku austria;Dokus / Reportagen;5312;153;;Austria;;;276;;;402;;;32
phoenix HD;Dokus / Reportagen;10331;130;HD;German;;;;;9;403;;;33
ZDFinfo HD;Dokus / Reportagen;11170;89;HD;German;;;;;169;404;;;34
Welt der Wunder;Dokus / Reportagen;13103;335;;German;;;;;;405;;;35
N24 DOKU Austria;Dokus / Reportagen;53;203;;Austria;;;255;;;406;;;36
health.tv;Dokus / Reportagen;12600;316;;German;;;;;;407;;;37
n-tv Austria;Nachrichten;13021;339;;Austria;;;208;;;500;;;38
DW English;Nachrichten;4430;151;;German;;;;;;501;;;39
EURONEWS GERMAN SD;Nachrichten;31230;224;;German;;;;;;502;;;40
tagesschau24 HD;Nachrichten;10375;51;HD;German;;;;;;503;;;41
gotv neu;Musik;13316;77;;Austria;;;;;;600;;;42
HITRADIO OE3;Musik;13013;337;HD;Austria;;;;;;601;;;43
DELUXE MUSIC;Musik;65;197;;German;;;;;;602;;;44
Deutsches Musik Fernsehen;Musik;12604;307;;German;;;;;;603;;;45
LEGENDEN TV;Musik;12633;320;;German;;;;;;604;;;46
Mei Musi TV;Musik;13015;338;;German;;;;;;605;;;47
